 tok  verdict  n  arms
  11  clean    1  L_w01
  12  clean    1  L_w02
  13  clean    1  L_w03
  14  clean    1  L_w04
  16  clean   20  A1_gate_placeholder, CTL_placeholder_after_w17, CTL_placeholder_after_w18, CTL_placeholder_after_w24, L_w06, CTL_placeholder_after_A3_C2_gardener_w17, CTL_placeholder_after_A3_swap_Tuesday, CTL_placeholder_after_A3_swap_fine, CTL_placeholder_after_A3_swap_obvious, CTL_recovery_before_T, CTL_placeholder_after_T_tok30, CTL_placeholder_after_T_tok31, CTL_placeholder_after_T_tok32, CTL_placeholder_after_T_tok45, CTL_placeholder_after_T_tok46, CTL_placeholder_after_T_tok44, CTL_placeholder_after_T_tok47, CTL_placeholder_after_REP2_w17__warm2, CTL_placeholder_after_T_tok48, CTL_placeholder_after_T_tok49
  20  clean    1  L_w08
  25  clean    1  L_w12
  26  clean    2  A3_C4_committee_w17, T_tok26
  27  clean    1  T_tok27
  28  clean    1  T_tok28__warm2
  29  clean    2  L_w16, T_tok29
  30  CRASH    7  L_w17, A3_C2_gardener_w17, A3_swap_fine, A3_swap_Tuesday, A3_swap_obvious, T_tok30, REP2_w17
  31  CRASH    1  T_tok31
  32  CRASH    2  L_w18, T_tok32
  33  clean    3  L_w19, T_tok33, REP2_w19
  34  clean    2  A3_C1_fisherman_w17, T_tok34
  35  clean    3  L_w20, A3_C3_locomotive_w17, T_tok35
  36  clean    1  T_tok36
  37  clean    1  T_tok37
  38  clean    1  L_w21
  39  clean    1  L_w22
  40  clean    1  T_tok40
  41  clean    1  L_w23
  42  clean    1  T_tok42
  43  clean    1  T_tok43
  44  CRASH    1  T_tok44
  45  CRASH    2  L_w24, T_tok45
  46  CRASH    2  A1_gate_crashstring, T_tok46
  47  CRASH    1  T_tok47
  48  CRASH    1  T_tok48
  49  CRASH    1  T_tok49
  50  CRASH    1  T_tok50

MIXED (same token count, different outcome): none
