unix_time,gpu_used_mib,gpu_free_mib,arm_server_used_mib
1786107870.752919626,45809, 51441,550
1786107872.831857505,46365, 50886,550
1786107874.984694118,46365, 50886,550
1786107877.382595945,45809, 51441,550
1786107879.581681159,45809, 51441,550
1786107881.713504537,45809, 51441,550
1786107883.990934764,45809, 51441,550
1786107886.187091084,45809, 51441,550
1786107888.283192662,45809, 51441,550
1786107890.495277800,45809, 51441,550
1786107892.692222750,47381, 49869,2310
1786107894.883098075,47699, 49551,2440
1786107897.113605924,48627, 48623,3656
1786107899.170983664,53021, 44229,7762
1786107901.228344477,53021, 44229,7762
1786107903.289757238,53021, 44229,7762
1786107905.482788327,53021, 44229,7762
1786107907.541346044,53021, 44229,7762
1786107909.602597975,57663, 39587,12404
1786107911.706318690,57663, 39587,12404
1786107913.764540341,52703, 44547,7444
1786107915.885016873,59551, 37699,14292
1786107917.946386132,53281, 43969,8022
1786107920.006798801,53345, 43905,8086
1786107922.071157528,53345, 43905,8086
1786107924.134351570,52833, 44417,7574
1786107926.190450494,56961, 40289,11702
1786107928.315584760,57217, 40033,11958
1786107930.395301233,57217, 40033,11958
1786107932.481998667,57249, 40001,11990
1786107934.537881343,57269, 39982,11990
1786107936.794515688,57805, 39446,11990
1786107938.899924967,58605, 38646,12790
1786107940.960493936,58605, 38646,12790
1786107943.085037120,58049, 39201,12790
1786107945.142957416,58049, 39201,12790
1786107947.204688906,58049, 39201,12790
1786107949.352777619,58049, 39201,12790
1786107951.483083182,58049, 39201,12790
1786107953.542877742,58049, 39201,12790
1786107955.702348540,58049, 39201,12790
1786107957.784262864,58049, 39201,12790
1786107959.982348585,58049, 39201,12790
1786107962.044053885,58100, 39150,12822
1786107964.356135841,58637, 38614,12822
1786107966.583228196,58637, 38614,12822
1786107968.700792389,58637, 38614,12822
1786107970.913348834,58081, 39169,12822
1786107973.023370098,58081, 39169,12822
1786107975.082250907,53249, 44001,7990
1786107977.151232356,53249, 44001,7990
1786107979.235148910,55969, 41281,10710
1786107981.308962565,53249, 44001,7990
1786107983.401942166,53249, 44001,7990
1786107985.524194609,53249, 44001,7990
1786107987.591324990,53249, 44001,7990
1786107989.717454493,55969, 41281,10710
1786107991.781853825,53345, 43905,8086
1786107993.841814037,53345, 43905,8086
1786107995.901738531,55715, 41535,10456
1786107997.958393644,53219, 44031,7960
1786108000.017370516,53219, 44031,7960
1786108002.098673979,53219, 44031,7960
1786108004.213085407,53219, 44031,7960
