unix_time,gpu_used_mib,gpu_free_mib,arm_server_used_mib
1786117882.562446518,45809, 51441,550
1786117884.681654835,45809, 51441,550
1786117886.889620680,45809, 51441,550
1786117889.089355502,45809, 51441,550
1786117891.284717576,45809, 51441,550
1786117893.491578115,47699, 49551,2440
1786117895.548471172,47667, 49583,2408
1786117897.604043636,53021, 44229,7762
1786117899.683871541,53021, 44229,7762
1786117901.782186970,53021, 44229,7762
1786117903.884106136,53021, 44229,7762
1786117905.982232743,53021, 44229,7762
1786117908.037947406,53021, 44229,7762
1786117910.193816781,54079, 43171,8820
1786117912.283830238,57663, 39587,12404
1786117914.420932366,52703, 44547,7444
1786117916.478585954,59551, 37699,14292
1786117918.557236778,53281, 43969,8022
1786117920.689644786,53313, 43937,8054
1786117922.841816781,53313, 43937,8054
1786117924.902053840,53313, 43937,8054
1786117926.968236364,59649, 37601,14102
1786117929.027478871,57217, 40033,11958
1786117931.107792205,57217, 40033,11958
1786117933.253614104,57249, 40001,11990
1786117935.483142437,57249, 40001,11990
1786117937.540147642,57249, 40001,11990
1786117939.627215146,58049, 39201,12790
1786117941.807425267,58049, 39201,12790
1786117943.944282771,58049, 39201,12790
1786117946.007808813,58049, 39201,12790
1786117948.198968202,58049, 39201,12790
1786117950.485687199,58049, 39201,12790
1786117952.561891969,58049, 39201,12790
1786117954.646372562,58049, 39201,12790
1786117956.886103609,58049, 39201,12790
1786117958.944006995,58049, 39201,12790
1786117961.005785420,58049, 39201,12790
1786117963.072724889,58049, 39201,12790
1786117965.139674552,58049, 39201,12790
1786117967.200123243,58049, 39201,12790
1786117969.307853898,58049, 39201,12790
1786117971.419094056,58049, 39201,12790
1786117973.498664446,58049, 39201,12790
1786117975.633859698,58049, 39201,12790
1786117977.694314695,53249, 44001,7990
1786117979.753885520,53249, 44001,7990
1786117981.891580159,53249, 44001,7990
1786117983.984150759,53249, 44001,7990
1786117986.106996809,53249, 44001,7990
1786117988.283944953,53249, 44001,7990
1786117990.384131392,53249, 44001,7990
1786117992.442687834,53377, 43873,8534
1786117994.504926492,53249, 44001,7990
1786117996.567225508,53249, 44001,7990
1786117998.728628490,55715, 41535,10456
1786118000.788298499,53219, 44031,7960
1786118002.919139748,53219, 44031,7960
1786118005.057603552,53219, 44031,7960
1786118007.182539281,53219, 44031,7960
1786118009.253935182,53219, 44031,7960
1786118011.312286490,53219, 44031,7960
1786118013.374555380,53763, 43487,8536
1786118015.484067253,52899, 44351,7704
1786118017.686059497,57283, 39967,12024
1786118019.748851151,57283, 39967,12024
1786118021.833304567,57315, 39935,12056
1786118023.995843336,57315, 39935,12056
1786118026.092193990,58115, 39135,12856
1786118028.230773119,58115, 39135,12856
1786118030.405677333,58115, 39135,12856
1786118032.503035214,58115, 39135,12856
1786118034.566300067,58115, 39135,12856
1786118036.699374068,58115, 39135,12856
1786118038.838219918,58115, 39135,12856
1786118041.021480767,58115, 39135,12856
1786118043.144230560,58115, 39135,12856
1786118045.230141416,58115, 39135,12856
1786118047.288067518,58115, 39135,12856
1786118049.352788571,58115, 39135,12856
1786118051.483942224,58115, 39135,12856
1786118053.583856143,58115, 39135,12856
1786118055.716536894,58115, 39135,12856
1786118057.793332358,58115, 39135,12856
1786118059.919330923,58115, 39135,12856
1786118061.979249296,58115, 39135,12856
1786118064.082199191,58115, 39135,12856
1786118066.151908842,58115, 39135,12856
1786118068.286560425,58115, 39135,12856
1786118070.368667150,58115, 39135,12856
1786118072.429373365,58115, 39135,12856
1786118074.614280989,58115, 39135,12856
1786118076.681867552,58115, 39135,12856
1786118078.889921033,58115, 39135,12856
1786118080.982559450,58115, 39135,12856
1786118083.082091887,58115, 39135,12856
1786118085.144061523,58115, 39135,12856
1786118087.216383297,58115, 39135,12856
1786118089.273611196,66563, 30687,29752
1786118091.336467828,52899, 44351,7640
1786118093.395783765,53603, 43647,8344
1786118095.485131252,69283, 27967,18808
1786118097.545744579,75011, 22239,29752
1786118099.636073598,75011, 22239,29752
1786118101.696501251,70371, 26879,25112
1786118103.993665338,70371, 26879,25112
1786118106.050104934,70371, 26879,25112
1786118108.183186876,52899, 44351,7640
1786118110.382200598,52899, 44351,7640
1786118112.582607429,52899, 44351,7640
1786118114.804785355,52899, 44351,7640
1786118117.084256466,52899, 44351,7640
1786118119.282755569,52899, 44351,7640
1786118121.492565464,52899, 44351,7640
1786118123.706072847,52899, 44351,7640
1786118125.990018096,52899, 44351,7640
1786118128.390668564,52899, 44351,7640
1786118130.523979360,52899, 44351,7640
1786118132.587416290,58467, 38783,13464
1786118134.643440049,65251, 31999,19992
1786118136.712328022,66659, 30591,21400
1786118138.784418274,66659, 30591,21400
1786118140.902329473,66659, 30591,21400
1786118142.983824507,64803, 32447,19544
1786118145.191085887,64803, 32447,19544
1786118147.390801684,64803, 32447,19544
1786118149.590580585,64803, 32447,19544
1786118151.800049171,64803, 32447,19544
1786118153.883992754,65155, 32095,19896
1786118156.031850039,65155, 32095,19896
1786118158.092703392,64803, 32447,19544
1786118160.391379899,64803, 32447,19544
1786118162.583969447,64803, 32447,19544
1786118164.806292983,64803, 32447,19544
1786118167.089058792,64803, 32447,19544
1786118169.310417132,64803, 32447,19544
1786118171.435346542,65411, 31839,20152
1786118173.498679948,65411, 31839,20152
1786118175.560272203,67427, 29823,22168
1786118177.617211850,67427, 29823,22168
