unix_time,gpu_used_mib,gpu_free_mib,arm_server_used_mib
1786114397.019628653,45809, 51441,550
1786114399.085166381,45809, 51441,550
1786114401.300004277,45809, 51441,550
1786114403.484178159,45809, 51441,550
1786114405.800030025,47601, 49649,2408
1786114407.883095196,47699, 49551,2440
1786114410.087866799,48467, 48783,3528
1786114412.147249288,53021, 44229,7762
1786114414.287580902,53021, 44229,7762
1786114416.381321275,53021, 44229,7762
1786114418.464935222,53021, 44229,7762
1786114420.604513124,53021, 44229,7762
1786114422.682771650,52895, 44355,7988
1786114424.882468621,57663, 39587,12404
1786114426.940309426,52703, 44547,7444
1786114429.002620861,59551, 37699,14292
1786114431.082084012,53025, 44225,7958
1786114433.260306618,53377, 43873,8118
1786114435.317704714,53377, 43873,8118
1786114437.379180676,53377, 43873,8118
1786114439.461794637,56961, 40289,11702
1786114441.684367639,57217, 40033,11958
1786114443.743838153,57217, 40033,11958
1786114445.883048934,57249, 40001,11990
1786114447.941263723,57249, 40001,11990
1786114450.120256338,57249, 40001,11990
1786114452.182199957,58049, 39201,12790
1786114454.349406967,58049, 39201,12790
1786114456.502696914,58049, 39201,12790
1786114458.611160899,58049, 39201,12790
1786114460.694648620,58049, 39201,12790
1786114462.804933928,58049, 39201,12790
1786114464.891363908,58049, 39201,12790
1786114466.982396107,58049, 39201,12790
1786114469.124962278,58049, 39201,12790
1786114471.310042306,58049, 39201,12790
1786114473.370792744,58049, 39201,12790
1786114475.430024576,58049, 39201,12790
1786114477.523502100,58049, 39201,12790
1786114479.583383460,58049, 39201,12790
1786114481.695831595,58049, 39201,12790
1786114483.804639073,58049, 39201,12790
1786114485.882455271,58049, 39201,12790
1786114488.016415276,58049, 39201,12790
1786114490.085715756,53249, 44001,7990
1786114492.145940410,53249, 44001,7990
1786114494.291890834,55969, 41281,10710
1786114496.349212680,53249, 44001,7990
1786114498.503020784,53249, 44001,7990
1786114500.582850796,53249, 44001,7990
1786114502.686442249,53249, 44001,7990
1786114504.744083458,55969, 41281,10710
1786114506.807483757,53345, 43905,8086
1786114508.931511793,53345, 43905,8086
1786114510.993183500,55715, 41535,10456
1786114513.090436060,53219, 44031,7960
1786114515.151074157,53219, 44031,7960
1786114517.210455884,53219, 44031,7960
1786114519.342753731,53219, 44031,7960
1786114521.402052918,53219, 44031,7960
1786114523.461506732,53219, 44031,7960
1786114525.520870942,53795, 43455,8536
1786114527.585452852,57283, 39967,12024
1786114529.678861131,57283, 39967,12024
1786114531.755385915,57283, 39967,12024
1786114533.876460349,57315, 39935,12056
1786114535.964529463,57315, 39935,12056
1786114538.032299701,57347, 39903,12088
1786114540.091586169,58115, 39135,12856
1786114542.166493876,58115, 39135,12856
1786114544.227047356,58115, 39135,12856
1786114546.290294416,58115, 39135,12856
1786114548.347803682,58115, 39135,12856
1786114550.406223950,58115, 39135,12856
1786114552.470960000,58115, 39135,12856
1786114554.583240895,58115, 39135,12856
1786114556.646508577,58115, 39135,12856
1786114558.706811783,58115, 39135,12856
1786114560.821215338,58115, 39135,12856
1786114562.883007012,58115, 39135,12856
1786114565.038171003,58115, 39135,12856
1786114567.196164250,58115, 39135,12856
1786114569.328544517,58115, 39135,12856
1786114571.400797215,58115, 39135,12856
1786114573.537515943,58115, 39135,12856
1786114575.608634278,58115, 39135,12856
1786114577.775902957,58115, 39135,12856
1786114579.885012607,58115, 39135,12856
1786114581.987559856,58115, 39135,12856
1786114584.128741891,58115, 39135,12856
1786114586.298292513,58115, 39135,12856
1786114588.384451559,58115, 39135,12856
1786114590.486974459,58115, 39135,12856
1786114592.582285524,58115, 39135,12856
1786114594.682773838,58115, 39135,12856
1786114596.743632312,58115, 39135,12856
1786114598.912148371,58115, 39135,12856
1786114600.986000068,58115, 39135,12856
1786114603.088181323,58115, 39135,12856
1786114605.202355806,58115, 39135,12856
1786114607.384280030,58115, 39135,12856
1786114609.501977459,58115, 39135,12856
1786114611.559720822,75011, 22239,29752
1786114613.621285932,52899, 44351,7640
1786114615.679654445,52899, 44351,7640
1786114617.738359208,70371, 26879,25112
1786114619.799732604,70371, 26879,25112
1786114621.882789796,61923, 35327,16664
1786114623.977429434,53603, 43647,8344
1786114626.036830910,70371, 26879,25112
1786114628.099886800,70371, 26879,25112
1786114630.184169806,67011, 30239,17016
1786114632.282112401,52899, 44351,7640
1786114634.490477618,52899, 44351,7640
1786114636.690616184,52899, 44351,7640
1786114638.887428155,52899, 44351,7640
1786114641.092189613,52899, 44351,7640
1786114643.489332393,52899, 44351,7640
1786114645.617834092,52899, 44351,7640
1786114647.890038092,52899, 44351,7640
1786114650.094588408,52899, 44351,7640
1786114652.385591170,52899, 44351,7640
1786114654.574240309,56835, 40415,11928
1786114656.662539267,65251, 31999,19992
1786114658.776224999,66659, 30591,21400
1786114660.884586732,66659, 30591,21400
1786114663.008220256,66659, 30591,21400
1786114665.085174948,64803, 32447,19544
1786114667.286086612,64803, 32447,19544
1786114669.407359968,64803, 32447,19544
1786114671.705018444,65155, 32095,19896
1786114673.891693602,65155, 32095,19896
1786114676.101136738,65155, 32095,19896
1786114678.185107012,64803, 32447,19544
1786114680.390031181,64803, 32447,19544
1786114682.592629311,64803, 32447,19544
1786114684.806420126,64803, 32447,19544
1786114687.085362423,64803, 32447,19544
1786114689.143091240,65411, 31839,20152
1786114691.205293410,67427, 29823,22168
1786114693.263650732,67427, 29823,22168
1786114695.326338771,64803, 32447,19544
