unix_time,gpu_used_mib,gpu_free_mib,arm_server_used_mib
1786116928.776217645,45809, 51441,550
1786116930.882568289,45809, 51441,550
1786116933.084211143,45809, 51441,550
1786116935.289193434,45809, 51441,550
1786116937.412772267,45809, 51441,550
1786116939.785664277,47667, 49583,2408
1786116941.883519879,47699, 49551,2440
1786116944.091740989,50707, 46543,5640
1786116946.190226874,53021, 44229,7762
1786116948.248717633,53021, 44229,7762
1786116950.382695338,53021, 44229,7762
1786116952.464411571,53021, 44229,7762
1786116954.590802152,53021, 44229,7762
1786116956.665058474,57663, 39587,12404
1786116958.728842345,57663, 39587,12404
1786116960.786317199,52703, 44547,7444
1786116962.852491408,59551, 37699,14292
1786116964.984522646,53281, 43969,8022
1786116967.042530845,53281, 43969,8118
1786116969.126685802,53377, 43873,8118
1786116971.293283618,53377, 43873,7574
1786116973.391835667,57217, 40033,11958
1786116975.484075245,57217, 40033,11958
1786116977.591974489,57217, 40033,11958
1786116979.655733851,57249, 40001,11990
1786116981.736759352,57249, 40001,11990
1786116983.821518336,57505, 39745,12246
1786116985.885514904,58049, 39201,12790
1786116988.018363338,58049, 39201,12790
1786116990.081157002,58049, 39201,12790
1786116992.181672395,58049, 39201,12790
1786116994.240487952,58049, 39201,12790
1786116996.305100758,58049, 39201,12790
1786116998.364062385,58049, 39201,12790
1786117000.486149714,58081, 39169,12822
1786117002.543093673,58081, 39169,12822
1786117004.607804233,58081, 39169,12822
1786117006.754660251,58081, 39169,12822
1786117008.884419416,58081, 39169,12822
1786117010.984497156,58081, 39169,12822
1786117013.043431334,58081, 39169,12822
1786117015.186832095,58081, 39169,12822
1786117017.246116251,58081, 39169,12822
1786117019.384142239,58081, 39169,12822
1786117021.475020122,58081, 39169,12822
1786117023.582665537,58081, 39169,12822
1786117025.642737472,58081, 39169,12822
1786117027.704239311,53249, 44001,7990
1786117029.827313020,53249, 44001,7990
1786117031.886280008,53249, 44001,7990
1786117034.016942168,53249, 44001,7990
1786117036.077531762,53345, 43905,8086
1786117038.205222469,53249, 44001,7990
1786117040.382189583,53249, 44001,7990
1786117042.462645331,53249, 44001,7990
1786117044.603763811,53249, 44001,7990
1786117046.658931088,53345, 43905,8086
1786117048.790129122,53249, 44001,10422
1786117050.849298789,53123, 44127,7960
1786117052.908106726,53219, 44031,7960
1786117054.970259830,53219, 44031,7960
1786117057.118353618,53219, 44031,7960
1786117059.283415693,53219, 44031,7960
1786117061.343380830,53219, 44031,7960
1786117063.410274189,53219, 44031,7960
1786117065.472118819,53795, 43455,8536
1786117067.534886507,57283, 39967,12024
1786117069.628665160,57283, 39967,12024
1786117071.782328096,57315, 39935,12056
1786117073.884256290,57315, 39935,12056
1786117075.945122395,57315, 39935,12056
1786117078.093560114,58115, 39135,12856
1786117080.186655848,58115, 39135,12856
1786117082.344544679,58115, 39135,12856
1786117084.495343171,58115, 39135,12856
1786117086.658461811,58115, 39135,12856
1786117088.814407697,58115, 39135,12856
1786117090.885791554,58115, 39135,12856
1786117092.943548193,58115, 39135,12856
1786117095.005948052,58115, 39135,12856
1786117097.100924678,58115, 39135,12856
1786117099.206087239,58115, 39135,12856
1786117101.508337053,58115, 39135,12856
1786117103.565961978,58115, 39135,12856
1786117105.654278113,58115, 39135,12856
1786117107.807854752,58115, 39135,12856
1786117109.884313567,58115, 39135,12856
1786117112.028421896,58115, 39135,12856
1786117114.184062749,58115, 39135,12856
1786117116.242036376,58115, 39135,12856
1786117118.319072543,58115, 39135,12856
1786117120.404713890,58115, 39135,12856
1786117122.486450754,58115, 39135,12856
1786117124.556316589,58115, 39135,12856
1786117126.689538674,58115, 39135,12856
1786117128.766416767,58115, 39135,12856
1786117130.825555233,58115, 39135,12856
1786117133.031772144,58115, 39135,12856
1786117135.094144687,58115, 39135,12856
1786117137.151189018,58115, 39135,12856
1786117139.210501364,58115, 39135,12856
1786117141.273048879,58115, 39135,12856
1786117143.330317729,58115, 39135,12856
1786117145.393040718,58115, 39135,12856
1786117147.451086403,52899, 44351,7640
1786117149.509407303,52899, 44351,7640
1786117151.577187860,53603, 43647,8344
1786117153.667410974,53443, 43807,8248
1786117155.782949416,67331, 29919,19064
1786117157.873808872,75011, 22239,29432
1786117159.986558149,70371, 26879,25112
1786117162.101119590,70371, 26879,25112
1786117164.187549755,70371, 26879,25112
1786117166.390898820,52899, 44351,7640
1786117168.602479330,52899, 44351,7640
1786117170.901640928,52899, 44351,7640
1786117173.115593568,52899, 44351,7640
1786117175.389184458,52899, 44351,7640
1786117177.691927557,52899, 44351,7640
1786117179.895935104,52899, 44351,7640
1786117182.094013831,52899, 44351,7640
1786117184.288867312,52899, 44351,7640
1786117186.593413859,52899, 44351,7640
1786117188.887154470,52931, 44319,7672
1786117190.970015621,63715, 33535,18648
1786117193.029297572,66659, 30591,21400
1786117195.106456145,66659, 30591,21400
1786117197.390749284,66659, 30591,21400
1786117199.484067600,64803, 32447,19544
1786117201.690213587,64803, 32447,19544
1786117203.891814851,64803, 32447,19544
1786117206.183729159,64803, 32447,19544
1786117208.386113927,64803, 32447,19544
1786117210.484160830,65155, 32095,19896
1786117212.605082214,65155, 32095,19896
1786117214.683525036,64803, 32447,19544
1786117216.886932590,64803, 32447,19544
1786117219.111163600,64803, 32447,19544
1786117221.402532808,64803, 32447,19544
1786117223.686054669,64803, 32447,19544
1786117225.892101098,65411, 31839,20152
1786117227.953126146,67459, 29791,22200
1786117230.034318808,67459, 29791,22200
1786117232.090989881,64803, 32447,19544
