unix_time,gpu_used_mib,gpu_free_mib,arm_server_used_mib
1786115987.681478656,45809, 51441,550
1786115989.781996084,45809, 51441,550
1786115992.090330892,45809, 51441,550
1786115994.291843447,45809, 51441,550
1786115996.491707446,46197, 51053,1098
1786115998.583429354,47699, 49551,2440
1786116000.804273156,48531, 48719,3560
1786116002.861835949,53021, 44229,7762
1786116004.921352366,53021, 44229,7762
1786116006.982606899,53021, 44229,7762
1786116009.047768554,53021, 44229,7762
1786116011.107693188,53021, 44229,7762
1786116013.165987324,55359, 41891,10100
1786116015.282663734,57663, 39587,12404
1786116017.356504382,52703, 44547,7444
1786116019.414601397,59551, 37699,14292
1786116021.478881625,53281, 43969,8022
1786116023.583789616,53313, 43937,8054
1786116025.781577771,53313, 43937,8054
1786116027.844718441,53313, 43937,8054
1786116029.930097099,57217, 40033,11958
1786116031.993139075,57217, 40033,11958
1786116034.084410427,57249, 40001,11990
1786116036.145990124,57249, 40001,11990
1786116038.293925960,57249, 40001,11990
1786116040.487412586,57249, 40001,11990
1786116042.684560221,58049, 39201,12790
1786116044.797669527,58049, 39201,12790
1786116046.950567091,58049, 39201,12790
1786116049.083542212,58049, 39201,12790
1786116051.242876205,58049, 39201,12790
1786116053.310110133,58049, 39201,12790
1786116055.397346633,58049, 39201,12790
1786116057.593250022,58049, 39201,12790
1786116059.731371516,58049, 39201,12790
1786116061.884047685,58049, 39201,12790
1786116064.000116112,58049, 39201,12790
1786116066.184116247,58049, 39201,12790
1786116068.283870872,58049, 39201,12790
1786116070.384400955,58049, 39201,12790
1786116072.444528386,58049, 39201,12790
1786116074.508799650,58049, 39201,12790
1786116076.605986428,58049, 39201,12790
1786116078.694890661,58049, 39201,12790
1786116080.789388943,58049, 39201,12790
1786116082.890183849,58049, 39201,12790
1786116084.946501250,58049, 39201,12790
1786116087.010880971,58049, 39201,12790
1786116089.084640386,53249, 44001,7990
1786116091.184392517,53249, 44001,7990
1786116093.261482806,53249, 44001,7990
1786116095.340630016,53249, 44001,7990
1786116097.402397848,53249, 44001,7990
1786116099.532683996,55969, 41281,10710
1786116101.591603079,53249, 44001,7990
1786116103.785963213,53249, 44001,7990
1786116105.847472268,53249, 44001,7990
1786116107.984888334,53249, 44001,7990
1786116110.045961156,55969, 41281,10710
1786116112.124347344,52899, 44351,7640
1786116114.183473566,53219, 44031,7960
1786116116.273957070,53219, 44031,7960
1786116118.435699751,53219, 44031,7960
1786116120.494928911,53219, 44031,7960
1786116122.628390322,53219, 44031,7960
1786116124.687283441,53219, 44031,7960
1786116126.816154235,53795, 43455,8536
1786116128.884786849,57283, 39967,12024
1786116130.956474085,57283, 39967,12024
1786116133.124539843,57315, 39935,12056
1786116135.192056018,57315, 39935,12056
1786116137.319626101,57347, 39903,12088
1786116139.387243528,58115, 39135,12856
1786116141.482735050,58115, 39135,12856
1786116143.616752134,58115, 39135,12856
1786116145.686728998,58115, 39135,12856
1786116147.809584701,58115, 39135,12856
1786116149.957528316,58115, 39135,12856
1786116152.182093529,58115, 39135,12856
1786116154.284617239,58115, 39135,12856
1786116156.431737409,58115, 39135,12856
1786116158.591928887,58115, 39135,12856
1786116160.716399421,58115, 39135,12856
1786116162.798372305,58115, 39135,12856
1786116164.961531411,58115, 39135,12856
1786116167.031994807,58115, 39135,12856
1786116169.110874779,58115, 39135,12856
1786116171.284307874,58115, 39135,12856
1786116173.344961983,58115, 39135,12856
1786116175.470643182,58115, 39135,12856
1786116177.612581416,58115, 39135,12856
1786116179.683866996,58115, 39135,12856
1786116181.745475840,58115, 39135,12856
1786116183.845375149,58115, 39135,12856
1786116186.019152366,58115, 39135,12856
1786116188.106546810,58115, 39135,12856
1786116190.206125898,58115, 39135,12856
1786116192.293500451,58115, 39135,12856
1786116194.393301895,58115, 39135,12856
1786116196.485721852,58115, 39135,12856
1786116198.582303879,58115, 39135,12856
1786116200.683783770,58115, 39135,12856
1786116202.782219445,58115, 39135,12856
1786116204.839148815,58115, 39135,12856
1786116206.894979946,75011, 22239,29752
1786116208.955544493,52899, 44351,7640
1786116211.013605181,61923, 35327,25112
1786116213.074455051,53603, 43647,8344
1786116215.136768373,53603, 43647,8344
1786116217.195277897,53603, 43647,8344
1786116219.282967643,70371, 26879,25112
1786116221.486829158,70371, 26879,25112
1786116223.584620538,70371, 26879,25112
1786116225.791398981,52899, 44351,7640
1786116227.988836388,52899, 44351,7640
1786116230.185943880,52899, 44351,7640
1786116232.391060419,52899, 44351,7640
1786116234.591470594,52899, 44351,7640
1786116236.792559231,52899, 44351,7640
1786116239.091813997,52899, 44351,7640
1786116241.385182781,52899, 44351,7640
1786116243.612827442,52899, 44351,7640
1786116245.807752571,52899, 44351,7640
1786116248.087023321,52899, 44351,7640
1786116250.347493514,57283, 39967,12248
1786116252.414709269,65251, 31999,19992
1786116254.491790706,66659, 30591,21400
1786116256.582043801,66659, 30591,21400
1786116258.688662375,66659, 30591,21400
1786116260.785675642,64803, 32447,19544
1786116262.992231712,64803, 32447,19544
1786116265.192853847,64803, 32447,19544
1786116267.316289708,64803, 32447,19544
1786116269.584487533,65123, 32127,19864
1786116271.766089489,65123, 32127,19864
1786116273.883999866,64803, 32447,19544
1786116276.087582912,64803, 32447,19544
1786116278.291870611,64803, 32447,19544
1786116280.490708059,64803, 32447,19544
1786116282.696183157,64803, 32447,19544
1786116284.891554424,64803, 32447,19544
1786116286.950194626,65411, 31839,20152
1786116289.012929617,67395, 29855,22136
1786116291.070799975,67395, 29855,22136
