unix_time,gpu_used_mib,gpu_free_mib,arm_server_used_mib
1786109047.117236699,45809, 51441,550
1786109049.186442026,45809, 51441,550
1786109051.393900346,45809, 51441,550
1786109053.588941469,45809, 51441,550
1786109055.714477564,47445, 49805,2310
1786109057.771834848,47699, 49551,2440
1786109059.989679815,47699, 49551,2408
1786109062.047401332,52339, 44911,7144
1786109064.108399230,53021, 44229,7762
1786109066.168340609,53021, 44229,7762
1786109068.229613364,53021, 44229,7762
1786109070.288730628,53021, 44229,7762
1786109072.379086802,53021, 44229,7762
1786109074.471331146,57663, 39587,12404
1786109076.536254251,57663, 39587,12404
1786109078.593403808,52703, 44547,7444
1786109080.685202369,59551, 37699,14292
1786109082.882229631,53281, 43969,8022
1786109085.028283999,53281, 43969,8022
1786109087.090023738,53281, 43969,8022
1786109089.202516390,62529, 34721,17270
1786109091.266445195,57217, 40033,11958
1786109093.383183676,57217, 40033,11958
1786109095.441798037,57249, 40001,11990
1786109097.518082259,57249, 40001,11990
1786109099.581952718,57505, 39745,12246
1786109101.637458395,57505, 39745,12246
1786109103.697320228,58049, 39201,12790
1786109105.789254644,58049, 39201,12790
1786109107.884506894,58049, 39201,12790
1786109109.944356751,58049, 39201,12790
1786109112.124214582,58049, 39201,12790
1786109114.292579195,58081, 39169,12822
1786109116.352880497,58081, 39169,12822
1786109118.522798793,58081, 39169,12822
1786109120.593333489,58081, 39169,12822
1786109122.728592027,58081, 39169,12822
1786109124.791668894,58081, 39169,12822
1786109126.884844637,58081, 39169,12822
1786109129.017621331,58081, 39169,12822
1786109131.082207074,58081, 39169,12822
1786109133.208429036,58081, 39169,12822
1786109135.265716302,58081, 39169,12822
1786109137.329456508,58081, 39169,12822
1786109139.402306504,53249, 44001,7990
1786109141.476245561,53249, 44001,7990
1786109143.605564104,52993, 44257,10710
1786109145.674815065,53249, 44001,7990
1786109147.800499318,53249, 44001,7990
1786109149.882749699,53249, 44001,7990
1786109151.985453194,53249, 44001,7990
1786109154.117874789,53249, 44001,7990
1786109156.176930689,53249, 44001,7990
1786109158.247760944,53249, 44001,7990
1786109160.306066720,55969, 41281,10710
1786109162.403059864,53123, 44127,7864
1786109164.484290856,53219, 44031,7960
1786109166.604041673,53219, 44031,7960
1786109168.715378073,53219, 44031,7960
1786109170.787877960,53219, 44031,7960
1786109172.866248395,53219, 44031,7960
1786109174.990424884,53795, 43455,8536
1786109177.052094878,52963, 44287,7704
1786109179.131573483,57315, 39935,12056
1786109181.202856020,57315, 39935,12056
1786109183.384875749,57315, 39935,12056
1786109185.484733827,57315, 39935,12056
1786109187.582596435,57315, 39935,12056
1786109189.684102970,58115, 39135,12856
1786109191.826118550,58115, 39135,12856
1786109193.907215419,58115, 39135,12856
1786109195.988068770,58115, 39135,12856
1786109198.122804742,58115, 39135,12856
1786109200.186470435,58115, 39135,12856
1786109202.242702174,58115, 39135,12856
1786109204.316711336,58115, 39135,12856
1786109206.401583814,58115, 39135,12856
1786109208.523413000,58115, 39135,12856
1786109210.584410897,58115, 39135,12856
1786109212.783979651,58115, 39135,12856
1786109214.847936899,58115, 39135,12856
1786109216.985903618,58115, 39135,12856
1786109219.182858187,58115, 39135,12856
1786109221.283376746,58115, 39135,12856
1786109223.384246086,58115, 39135,12856
1786109225.446343702,58115, 39135,12856
1786109227.622761103,58115, 39135,12856
1786109229.795470982,58115, 39135,12856
1786109231.883562981,58115, 39135,12856
1786109234.016637649,58115, 39135,12856
1786109236.100416501,58115, 39135,12856
1786109238.205155914,58115, 39135,12856
1786109240.262330902,58115, 39135,12856
1786109242.394004571,58115, 39135,12856
1786109244.514386056,58115, 39135,12856
1786109246.618127491,58115, 39135,12856
1786109248.784031221,58115, 39135,12856
1786109250.917392348,58115, 39135,12856
1786109253.035635558,52899, 44351,7640
1786109255.093907079,52899, 44351,7640
1786109257.149362919,52963, 44287,7704
1786109259.206793939,75011, 22239,29752
1786109261.269631665,75011, 22239,29752
1786109263.333551790,75011, 22239,29752
1786109265.395079284,70371, 26879,25112
1786109267.689321948,70371, 26879,25112
1786109269.783197283,70371, 26879,25112
1786109271.991901014,52899, 44351,7640
1786109274.191653933,52899, 44351,7640
1786109276.494054817,52899, 44351,7640
1786109278.804233452,52899, 44351,7640
1786109281.091022807,52899, 44351,7640
1786109283.587116927,52899, 44351,7640
1786109285.885851171,52899, 44351,7640
1786109288.096040963,52899, 44351,7640
1786109290.403574355,52899, 44351,7640
1786109292.694550739,52899, 44351,7640
1786109294.779319907,55683, 41567,10872
1786109296.854065832,65283, 31967,20024
1786109298.942442950,66691, 30559,21432
1786109301.000743718,66691, 30559,21432
1786109303.304904236,67779, 29472,21432
1786109305.503127936,64803, 32447,19544
1786109307.786446095,64803, 32447,19544
1786109309.994141249,64803, 32447,19544
1786109312.190905300,64803, 32447,19544
1786109314.403491286,64835, 32415,19576
1786109316.459506954,65155, 32095,19896
1786109318.536197565,65155, 32095,19896
1786109320.594362983,64803, 32447,19544
1786109322.890010218,64803, 32447,19544
1786109325.181973549,64803, 32447,19544
1786109327.386633547,64803, 32447,19544
1786109329.682769008,64803, 32447,19544
1786109331.888067866,65443, 31807,20184
1786109333.946487362,66499, 30751,22264
1786109336.024774804,67523, 29727,22264
