unix_time,gpu_used_mib,gpu_free_mib,arm_server_used_mib
1786118492.100539486,45809, 51441,550
1786118494.184597019,45809, 51441,550
1786118496.384707402,45809, 51441,550
1786118498.589289447,45809, 51441,550
1786118500.666859020,45809, 51441,550
1786118502.886000355,47667, 49583,2408
1786118504.993536335,47699, 49551,2440
1786118507.201397051,50291, 46959,5192
1786118509.258366979,52147, 45103,6888
1786118511.384019025,53021, 44229,7762
1786118513.585090465,53021, 44229,7762
1786118515.644154282,53021, 44229,7762
1786118517.728562315,53021, 44229,7762
1786118519.788325699,53021, 44229,7762
1786118521.846908494,53855, 43395,10100
1786118523.984940586,57663, 39587,12404
1786118526.045805245,52703, 44547,7444
1786118528.106842625,53279, 43971,7668
1786118530.219745673,52833, 44417,7574
1786118532.280466101,53537, 43713,8278
1786118534.373448504,53537, 43713,8278
1786118536.483786443,53537, 43713,8278
1786118538.589060662,62529, 34721,17270
1786118540.684335725,57217, 40033,11958
1786118542.783980645,57217, 40033,11958
1786118544.844188071,57249, 40001,11990
1786118546.938720867,57249, 40001,11990
1786118549.103563366,57505, 39745,12246
1786118551.333900795,57505, 39745,12246
1786118553.416210435,58049, 39201,12790
1786118555.595074518,58049, 39201,12790
1786118557.784216479,58049, 39201,12790
1786118559.891939097,58049, 39201,12790
1786118561.953362327,58049, 39201,12790
1786118564.084219093,58049, 39201,12790
1786118566.184336299,58049, 39201,12790
1786118568.288067357,58049, 39201,12790
1786118570.382942832,58049, 39201,12790
1786118572.448677378,58049, 39201,12790
1786118574.545904162,58049, 39201,12790
1786118576.693357991,58049, 39201,12790
1786118578.773041943,58049, 39201,12790
1786118580.834630656,58049, 39201,12790
1786118582.916835915,58049, 39201,12790
1786118585.083222767,58049, 39201,12790
1786118587.149144611,58049, 39201,12790
1786118589.207207450,53249, 44001,7990
1786118591.330568161,53249, 44001,7990
1786118593.390406738,53249, 44001,7990
1786118595.513360700,53249, 44001,7990
1786118597.570170759,53345, 43905,8086
1786118599.631228370,53249, 44001,7990
1786118601.691077920,53345, 43905,8086
1786118603.784350554,53249, 44001,7990
1786118605.883352655,53249, 44001,7990
1786118607.954044826,53249, 44001,7702
1786118610.013688441,53793, 43457,8534
1786118612.090873034,57025, 40225,11766
1786118614.292785102,57281, 39969,12022
1786118616.353031428,57281, 39969,12022
1786118618.411858093,57313, 39937,12054
1786118620.583062428,57313, 39937,12054
1786118622.645271625,58113, 39137,12854
1786118624.745235655,58113, 39137,12854
1786118626.812387717,58113, 39137,12854
1786118628.884351116,58113, 39137,12854
1786118631.023646506,58113, 39137,12854
1786118633.085133916,58113, 39137,12854
1786118635.215086674,58113, 39137,12854
1786118637.287132515,58113, 39137,12854
1786118639.381583289,58113, 39137,12854
1786118641.439943459,58113, 39137,12854
1786118643.496346684,58113, 39137,12854
1786118645.594428606,58113, 39137,12854
1786118647.683325406,58113, 39137,12854
1786118649.749326706,58113, 39137,12854
1786118651.809417484,58113, 39137,12854
1786118653.865177772,58113, 39137,12854
1786118656.053214238,58113, 39137,12854
1786118658.115264171,58113, 39137,12854
1786118660.288324041,58113, 39137,12854
1786118662.500884579,58113, 39137,12854
1786118664.615575350,58113, 39137,12854
1786118666.702859761,58113, 39137,12854
1786118668.900934286,58113, 39137,12854
1786118671.040466712,58113, 39137,12854
1786118673.192388371,58113, 39137,12854
1786118675.285678466,58113, 39137,12854
1786118677.389625230,58113, 39137,12854
1786118679.482366211,58113, 39137,12854
1786118681.542188201,58113, 39137,12854
1786118683.686337144,58113, 39137,12854
1786118685.781866146,58113, 39137,12854
1786118687.848872816,58113, 39137,12854
1786118689.906431105,58113, 39137,12854
1786118691.992697886,52897, 44353,7638
1786118694.052276974,75009, 22241,29750
1786118696.112715354,70369, 26881,23414
1786118698.190361556,70369, 26881,25110
1786118700.250536064,70369, 26881,25110
1786118702.336172767,70369, 26881,25110
1786118704.518865192,70369, 26881,25110
1786118706.599386366,52897, 44353,7638
1786118708.682199841,52897, 44353,7638
1786118710.899852745,52897, 44353,7638
1786118713.093648474,52897, 44353,7638
1786118715.290871243,52897, 44353,7638
1786118717.684156251,52897, 44353,7638
1786118719.894775599,52897, 44353,7638
1786118722.195341992,52897, 44353,7638
1786118724.413895245,52897, 44353,7638
1786118726.685357735,52897, 44353,7638
1786118728.997208647,52897, 44353,7638
1786118731.307452405,54467, 42783,9208
1786118733.362368969,65635, 31615,20376
1786118735.421103185,65635, 31615,20376
1786118737.507064118,68259, 28991,23000
1786118739.584686842,68259, 28991,23000
1786118741.894195362,68259, 28991,23000
1786118743.983841535,64803, 32447,19544
1786118746.385106169,64803, 32447,19544
1786118748.508198559,64803, 32447,19544
1786118750.792219242,64803, 32447,19544
1786118752.986938186,65123, 32127,19864
1786118755.048093514,65635, 31615,20376
1786118757.182457083,68259, 28991,23000
1786118759.381975585,68259, 28991,23000
1786118761.554496987,68259, 28991,23000
1786118763.609161300,64803, 32447,19544
1786118765.905564974,64803, 32447,19544
1786118768.186933114,64803, 32447,19544
1786118770.406159503,64803, 32447,19544
1786118772.686375406,64803, 32447,19544
1786118774.892105221,64803, 32447,19544
1786118777.127519867,65507, 31743,20248
1786118779.189220404,68003, 29247,22744
1786118781.244665475,68003, 29247,22744
