unix_time,gpu_used_mib,gpu_free_mib,arm_server_used_mib
1786118795.613549851,45809, 51441,550
1786118797.684279428,45809, 51441,550
1786118799.887062874,45809, 51441,550
1786118802.082984756,45809, 51441,550
1786118804.393501474,45809, 51441,550
1786118806.540338451,47667, 49583,2408
1786118808.594095628,48459, 48792,2408
1786118810.649040494,50931, 46319,5928
1786118812.764098287,53021, 44229,7762
1786118814.824083736,53021, 44229,7762
1786118816.884386155,53021, 44229,7762
1786118818.982239729,53021, 44229,7762
1786118821.041724218,53021, 44229,7762
1786118823.098941723,53407, 43843,8820
1786118825.181906534,57663, 39587,12404
1786118827.244412158,52703, 44547,7444
1786118829.308509101,52703, 44547,7444
1786118831.369447419,59551, 37699,14292
1786118833.484681864,53537, 43713,8278
1786118835.548605884,53537, 43713,8278
1786118837.682509644,53537, 43713,8278
1786118839.818817545,53537, 43713,8278
1786118841.984741011,55553, 41697,11670
1786118844.044805854,57217, 40033,11958
1786118846.186429404,57217, 40033,11958
1786118848.283307323,57249, 40001,11990
1786118850.379232308,57249, 40001,11990
1786118852.438342943,57505, 39745,12246
1786118854.599022303,57505, 39745,12246
1786118856.660227790,58049, 39201,12790
1786118858.748827077,58049, 39201,12790
1786118860.908810052,58049, 39201,12790
1786118863.040049861,58049, 39201,12790
1786118865.193012591,58049, 39201,12790
1786118867.255512556,58081, 39169,12822
1786118869.504580526,58081, 39169,12822
1786118871.582168954,58081, 39169,12822
1786118873.638226089,58081, 39169,12822
1786118875.696439109,58081, 39169,12822
1786118877.907645071,58081, 39169,12822
1786118879.986985440,58081, 39169,12822
1786118882.086900611,58081, 39169,12822
1786118884.225545822,58081, 39169,12822
1786118886.403049396,58081, 39169,12822
1786118888.482466599,58081, 39169,12822
1786118890.582514059,58081, 39169,12822
1786118892.683212413,53249, 44001,7990
1786118894.744496040,53345, 43905,8086
1786118896.803148151,53345, 43905,8086
1786118898.862973949,53249, 44001,7990
1786118901.006394909,53345, 43905,8086
1786118903.081178932,53249, 44001,7990
1786118905.207196832,53249, 44001,7990
1786118907.264778369,53249, 44001,7990
1786118909.391704835,53249, 44001,7990
1786118911.450815097,53345, 43905,8086
1786118913.507721130,55969, 41281,9014
1786118915.566597076,53793, 43457,8534
1786118917.630255775,57281, 39969,12022
1786118919.687661172,57281, 39969,12022
1786118921.748130520,57313, 39937,12054
1786118923.883981069,57313, 39937,12054
1786118925.939523794,57313, 39937,12054
1786118928.084166809,58113, 39137,12854
1786118930.182668990,58113, 39137,12854
1786118932.282787387,58113, 39137,12854
1786118934.345841407,58113, 39137,12854
1786118936.521291931,58113, 39137,12854
1786118938.592789189,58113, 39137,12854
1786118940.711180511,58113, 39137,12854
1786118942.772020836,58113, 39137,12854
1786118944.901784862,58113, 39137,12854
1786118946.981792157,58113, 39137,12854
1786118949.040843422,58113, 39137,12854
1786118951.116175885,58113, 39137,12854
1786118953.184691573,58113, 39137,12854
1786118955.245534791,58113, 39137,12854
1786118957.382585401,58113, 39137,12854
1786118959.448746652,58113, 39137,12854
1786118961.605269593,58113, 39137,12854
1786118963.703023954,58113, 39137,12854
1786118965.884387117,58113, 39137,12854
1786118967.982629987,58113, 39137,12854
1786118970.041809963,58113, 39137,12854
1786118972.192309159,58113, 39137,12854
1786118974.249605230,58113, 39137,12854
1786118976.309483152,58113, 39137,12854
1786118978.382067437,58113, 39137,12854
1786118980.484483616,58113, 39137,12854
1786118982.543183242,58113, 39137,12854
1786118984.597300346,58113, 39137,12854
1786118986.698614224,58113, 39137,12854
1786118988.790740005,58113, 39137,12854
1786118990.900438572,58113, 39137,12854
1786118992.962063165,58113, 39137,12854
1786118995.016648958,52897, 44353,7638
1786118997.076247583,70369, 26881,25110
1786118999.201406764,70369, 26881,25110
1786119001.264290864,70369, 26881,25110
1786119003.326617049,70369, 26881,25110
1786119005.387962037,70369, 26881,25110
1786119007.546722589,70369, 26881,25110
1786119009.601861156,70369, 26881,25110
1786119012.002236412,52897, 44353,7638
1786119014.298471659,52897, 44353,7638
1786119016.491198393,52897, 44353,7638
1786119018.683063102,52897, 44353,7638
1786119020.982388799,52897, 44353,7638
1786119023.205719344,52897, 44353,7638
1786119025.493890736,52897, 44353,7638
1786119027.709702363,52897, 44353,7638
1786119030.007032355,52897, 44353,7638
1786119032.295839699,52897, 44353,7638
1786119034.584572399,53217, 44033,7958
1786119036.642320504,63235, 34015,18040
1786119038.700397217,65635, 31615,20376
1786119040.761049099,68227, 29023,22968
1786119042.818613785,68227, 29023,22968
1786119044.889058439,68227, 29023,22968
1786119046.983347767,64771, 32479,19512
1786119049.187388292,64771, 32479,19512
1786119051.391037503,64771, 32479,19512
1786119053.592195371,64771, 32479,19512
1786119055.803843897,64771, 32479,19512
1786119057.861208478,65635, 31615,20376
1786119059.938385256,65635, 31615,20376
1786119062.002280868,65635, 31615,20376
1786119064.079613671,68227, 29023,22968
1786119066.216024773,68227, 29023,22968
1786119068.296982385,64771, 32479,19512
1786119070.505669885,64771, 32479,19512
1786119072.796692076,64771, 32479,19512
1786119074.995725372,64771, 32479,19512
1786119077.194808754,64771, 32479,19512
1786119079.406218926,64771, 32479,19512
1786119081.488870322,65507, 31743,20248
1786119083.551252448,67971, 29279,22712
1786119085.608580509,67971, 29279,22712
